module_no,title,url
1,Utgångspunkt för lyckad export,http://thisisnotavailableyet.foo
2,Välja exportmarknad,http://thisisnotavailableyet.foo
3,Öka hållbarheten,http://thisisnotavailableyet.foo
4,Segmentera marknaden,http://thisisnotavailableyet.foo
5,Formulera säljargument,http://thisisnotavailableyet.foo
6,Sätta pris,http://thisisnotavailableyet.foo
7,Analysera konkurrensen,http://thisisnotavailableyet.foo
8,Välja distributionsstrategi,http://thisisnotavailableyet.foo
9,Hitta samarbetspartners,http://thisisnotavailableyet.foo
10,Skriva avtal,http://thisisnotavailableyet.foo
11,Planera marknadsföring,http://thisisnotavailableyet.foo
12,Göra etableringskalkyl,http://thisisnotavailableyet.foo
13,Få koll på exportvillkor,http://thisisnotavailableyet.foo
